year,month,am,an,azn,ba,bb
2007,May," 2,016,862 ",,,,
2007,Jun," 754,463 ",,,,
2007,Jul," 9,909,459 "," 287,795 "," 2,755,873 "," 303,921 "," 209,106 "
2007,Aug," 32,892,707 "," 832,373 "," 11,276,082 "," 4,205,345 "," 3,364,710 "
2007,Sep," 27,141,237 "," 2,730,440 "," 7,747,451 "," 12,376,000 "," 3,187,788 "
2007,Oct," 62,832,064 "," 4,683,328 "," 14,923,958 "," 4,403,514 "," 1,066,951 "
2007,Nov," 87,122,061 "," 3,095,785 "," 3,697,479 "," 4,756,191 "," 1,039,358 "
2007,Dec," 50,022,801 "," 2,724,789 "," 5,143,007 "," 4,869,128 "," 2,530,426 "
2008,Jan," 112,422,113 "," 13,361,901 "," 6,228,524 "," 6,558,246 "," 2,189,599 "
2008,Feb," 101,329,247 "," 14,142,801 "," 7,223,645 "," 4,599,644 "," 1,658,089 "
2008,Mar," 98,040,208 "," 7,998,504 "," 2,524,952 "," 8,648,804 "," 6,373,683 "
2008,Apr," 89,050,029 "," 12,230,929 "," 20,934,235 "," 10,073,901 "," 6,144,599 "
2008,May," 111,962,195 "," 12,756,797 "," 13,467,656 "," 7,231,129 "," 2,090,537 "
2008,Jun," 169,443,645 "," 15,894,422 "," 13,959,202 "," 7,204,991 "," 2,466,475 "
2008,Jul," 152,082,243 "," 16,734,144 "," 19,050,291 "," 8,204,202 "," 5,237,673 "
2008,Aug," 190,607,883 "," 20,045,371 "," 54,169,498 "," 12,221,265 "," 5,169,154 "
2008,Sep," 202,363,749 "," 27,196,451 "," 15,485,920 "," 11,201,854 "," 10,854,357 "
2008,Oct," 208,514,086 "," 36,552,299 "," 83,407,491 "," 12,911,613 "," 10,638,454 "
2008,Nov," 183,949,736 "," 44,048,442 "," 45,733,616 "," 18,602,424 "," 9,656,694 "
2008,Dec," 169,833,757 "," 30,680,993 "," 23,138,895 "," 18,325,607 "," 16,945,727 "
2009,Jan," 104,466,403 "," 24,130,286 "," 11,718,239 "," 5,133,630 "," 5,733,361 "
2009,Feb," 113,354,446 "," 20,621,197 "," 19,140,790 "," 5,295,197 "," 7,311,569 "
2009,Mar," 105,095,301 "," 29,046,355 "," 21,675,682 "," 7,879,341 "," 4,824,851 "
2009,Apr," 94,417,523 "," 30,009,975 "," 21,954,619 "," 8,195,431 "," 9,904,423 "
2009,May," 107,365,824 "," 37,648,305 "," 22,417,794 "," 12,447,049 "," 10,978,706 "
2009,Jun," 94,276,667 "," 29,439,229 "," 19,946,171 "," 8,153,743 "," 9,699,634 "
2009,Jul," 100,688,815 "," 46,942,158 "," 23,410,515 "," 11,916,118 "," 15,779,107 "
2009,Aug," 126,163,245 "," 40,657,212 "," 28,660,099 "," 19,440,994 "," 10,119,381 "
2009,Sep," 123,488,917 "," 42,356,648 "," 23,572,584 "," 15,767,783 "," 11,482,620 "
2009,Oct," 152,001,302 "," 39,393,905 "," 26,731,040 "," 13,922,378 "," 25,183,445 "
2009,Nov," 170,049,339 "," 44,285,551 "," 22,974,953 "," 16,424,676 "," 23,871,604 "
2009,Dec," 119,552,279 "," 42,044,408 "," 23,302,996 "," 15,633,502 "," 20,452,856 "
2010,Jan," 99,764,503 "," 27,070,935 "," 17,379,374 "," 9,406,214 "," 17,229,718 "
2010,Feb," 111,673,274 "," 22,993,833 "," 15,218,489 "," 12,514,442 "," 12,590,386 "
2010,Mar," 122,891,609 "," 25,546,906 "," 26,941,457 "," 14,856,416 "," 14,387,896 "
2010,Apr," 112,514,916 "," 28,150,394 "," 21,110,729 "," 15,374,390 "," 12,185,179 "
2010,May," 103,871,116 "," 31,931,234 "," 31,479,563 "," 12,025,372 "," 15,861,683 "
2010,Jun," 121,794,892 "," 46,108,604 "," 28,337,724 "," 14,886,083 "," 18,195,897 "
2010,Jul," 116,901,555 "," 38,042,359 "," 32,330,123 "," 15,517,479 "," 11,543,259 "
2010,Aug," 111,447,129 "," 37,827,944 "," 34,893,662 "," 19,531,011 "," 16,835,558 "
2010,Sep," 98,436,186 "," 30,826,124 "," 25,892,867 "," 11,624,857 "," 14,102,366 "
2010,Oct," 81,539,373 "," 35,181,743 "," 22,450,935 "," 8,745,309 "," 18,421,600 "
2010,Nov," 110,634,834 "," 31,521,459 "," 22,173,908 "," 13,442,895 "," 16,073,208 "
2010,Dec," 93,791,094 "," 27,829,551 "," 23,885,751 "," 12,360,142 "," 16,156,520 "
2011,Jan," 74,681,878 "," 17,395,174 "," 16,542,275 "," 8,656,827 "," 13,886,097 "
2011,Feb," 62,327,672 "," 15,981,595 "," 19,368,393 "," 6,761,263 "," 12,014,636 "
2011,Mar," 90,680,932 "," 26,327,596 "," 31,428,713 "," 15,184,233 "," 17,902,888 "
2011,Apr," 71,960,708 "," 22,632,149 "," 16,197,138 "," 9,492,288 "," 14,366,787 "
2011,May," 95,049,897 "," 23,009,401 "," 16,232,652 "," 14,153,381 "," 16,758,476 "
2011,Jun," 105,330,798 "," 32,371,162 "," 26,718,950 "," 14,248,482 "," 18,925,349 "
2011,Jul," 113,341,734 "," 31,135,958 "," 27,099,660 "," 12,021,547 "," 17,595,122 "
2011,Aug," 112,407,635 "," 36,452,226 "," 24,040,081 "," 15,389,534 "," 20,145,513 "
2011,Sep," 105,025,302 "," 33,225,379 "," 31,421,424 "," 17,370,040 "," 21,322,212 "
2011,Oct," 93,272,387 "," 26,592,716 "," 19,723,392 "," 14,560,687 "," 19,310,293 "
2011,Nov," 90,692,655 "," 23,132,322 "," 19,710,471 "," 12,728,591 "," 22,760,259 "
2011,Dec," 112,977,153 "," 31,368,608 "," 23,904,234 "," 14,117,316 "," 21,654,549 "
2012,Jan," 87,784,072 "," 28,146,245 "," 20,878,625 "," 14,373,157 "," 19,711,724 "
2012,Feb," 95,184,740 "," 30,080,092 "," 16,826,209 "," 13,748,913 "," 22,767,325 "
2012,Mar," 102,967,747 "," 33,637,682 "," 17,576,849 "," 10,839,003 "," 21,443,488 "
2012,Apr," 91,771,764 "," 32,316,264 "," 21,099,752 "," 9,435,797 "," 23,402,766 "
2012,May," 96,769,535 "," 40,378,330 "," 25,928,491 "," 12,383,718 "," 22,669,420 "
2012,Jun," 104,175,243 "," 38,161,099 "," 19,257,319 "," 13,357,569 "," 19,105,916 "
2012,Jul," 97,083,196 "," 37,895,673 "," 15,508,138 "," 14,866,002 "," 20,831,842 "
2012,Aug," 84,579,284 "," 41,882,332 "," 13,183,121 "," 15,323,648 "," 16,672,079 "
2012,Sep," 87,626,208 "," 40,260,145 "," 14,530,064 "," 17,368,500 "," 17,929,709 "
2012,Oct," 93,210,092 "," 36,898,875 "," 14,363,401 "," 13,817,858 "," 20,314,033 "
2012,Nov," 80,365,024 "," 30,416,747 "," 12,264,649 "," 11,297,835 "," 16,775,846 "
2012,Dec," 85,110,698 "," 32,285,638 "," 15,116,854 "," 11,344,341 "," 14,635,673 "
2013,Jan," 69,015,689 "," 21,617,185 "," 9,200,155 "," 10,062,235 "," 10,915,080 "
2013,Feb," 39,917,046 "," 13,628,016 "," 5,434,893 "," 5,499,724 "," 7,259,939 "
